key_resp.keys,key_resp.rt,key_resp_3.keys,key_resp_3.rt,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,slider.response,slider.rt,slider_2.response,slider_2.rt,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,trials_2.order,file_name,Initials*,session,date,expName,psychopyVersion,OS,frameRate,key_resp_4.keys,key_resp_4.rt,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,slider_3.response,slider_3.rt,slider_4.response,slider_4.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,trials.order,images,key_resp_2.keys,key_resp_2.rt,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_3.ran,trials_3.order,trials_4.thisRepN,trials_4.thisTrialN,trials_4.thisN,trials_4.thisIndex,trials_4.ran,trials_4.order,trials_5.thisRepN,trials_5.thisTrialN,trials_5.thisN,trials_5.thisIndex,trials_5.ran,trials_5.order,trials_6.thisRepN,trials_6.thisTrialN,trials_6.thisN,trials_6.thisIndex,trials_6.ran,trials_6.order
,,,,,,,,,,,,,,,,,,,21_8.png,GI,001,2020-02-05_17h14.47.431,trust_define_RK,3.2.3,Win32,60,,,-0.006481468,-0.33240742,1,0,0,,,7,0.151000023,1,0,28,7,1,27,21.png,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,93_26.png,GI,001,2020-02-05_17h14.47.431,trust_define_RK,3.2.3,Win32,60,,,0.209259276,-0.339814884,1,0,0,,,9,0.161000013,1,0,28,25,1,27,93.png,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,97_27.png,GI,001,2020-02-05_17h14.47.431,trust_define_RK,3.2.3,Win32,60,,,-0.389814807,-0.333333346,1,0,0,,,3,0.145999908,1,0,28,26,1,27,97.png,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,89_25.png,GI,001,2020-02-05_17h14.47.431,trust_define_RK,3.2.3,Win32,60,,,0.303703721,-0.330555624,1,0,0,,,10,0.152999878,1,0,28,24,1,27,89.png,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,66_21.png,GI,001,2020-02-05_17h14.47.431,trust_define_RK,3.2.3,Win32,60,,,-0.296296287,-0.329629642,1,0,0,,,4,0.131000042,1,0,28,20,1,27,66.png,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,88_24.png,GI,001,2020-02-05_17h14.47.431,trust_define_RK,3.2.3,Win32,60,,,0.099074089,-0.33240742,1,0,0,,,8,0.126999855,1,0,28,23,1,27,88.png,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,1_1.png,GI,001,2020-02-05_17h14.47.431,trust_define_RK,3.2.3,Win32,60,,,0.099074089,-0.33240742,1,0,0,,,8,0.126999855,1,0,28,0,1,27,1.png,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,44_16.png,GI,001,2020-02-05_17h14.47.431,trust_define_RK,3.2.3,Win32,60,,,0.204629646,-0.337962975,1,0,0,,,9,0.125,1,0,28,15,1,27,44.png,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,42_14.png,GI,001,2020-02-05_17h14.47.431,trust_define_RK,3.2.3,Win32,60,,,-0.191666656,-0.33703705,1,0,0,,,5,0.118000031,1,0,28,13,1,27,42.png,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,107_2.png,GI,001,2020-02-05_17h14.47.431,trust_define_RK,3.2.3,Win32,60,,,-0.191666656,-0.33703705,1,0,0,,,5,0.161000013,1,0,28,1,1,27,107.png,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,20_7.png,GI,001,2020-02-05_17h14.47.431,trust_define_RK,3.2.3,Win32,60,,,-0.303703695,-0.350000013,1,0,0,,,4,0.119999886,1,0,28,6,1,27,20.png,,,,,,,,,,,,,,,,,,,,,,,,,,
